"Temperature in °C"	"Relative Humidity in %"
19.758333	67.881248
22.372917	63.881248
27.758333	59.881248
27.758333	65.46875
23.758333	69.46875
19.758333	69.46875
27.758333	63.881248
33.758335	59.881248
35.758335	55.881248
37.71875	49.88958
43.758335	42.481247
49.360416	38.247917
51.758335	22.372915
55.758335	14.435415
58.356251	7.8812494
59.758335	11.881249
59.758335	13.641665
59.758335	15.881248
55.758335	19.881248
55.758335	19.881248
55.758335	22.372915
57.297916	23.881248
59.758335	27.881248
59.758335	21.314581
61.266666	19.881248
57.297916	27.881248
53.59375	27.881248
51.758335	27.881248
51.758335	35.881248
54.122917	35.881248
58.091667	35.881248
59.758335	35.881248
58.356251	39.881248
54.122917	43.881248
51.758335	43.881248
51.758335	43.881248
43.758335	45.92083
43.758335	47.881248
43.758335	51.881248
47.758335	50.418747
47.758335	50.154167
47.758335	51.881248
39.758335	59.881248
38.247917	62.060413
37.454166	63.881248
39.758335	69.997917
31.758333	71.881248
34.014584	67.881248
35.758335	62.060413
43.758335	55.881248
47.758335	54.122917
47.758335	53.59375
51.758335	47.881248
55.758335	47.881248
47.758335	55.881248
29.252083	70.262497
23.758333	74.495834
21.314583	77.935417
19.758333	77.40625
13.377084	71.881248
11.758333	74.495834
15.758333	77.40625
19.758333	74.495834
21.579166	71.881248
15.758333	59.881248
15.758333	54.387497
21.579166	55.881248
19.758333	59.881248
11.758333	58.091663
7.7583332	63.881248
5.7041674	51.881248
13.377084	49.625
9.4083338	53.85833
5.4395833	59.881248
29.516666	87.881248
40.099998	86.402084
45.516666	78.199997
51.741665	71.881248
57.516666	66.029167
63.118748	59.881252
67.616669	51.881252
71.849998	39.881252
73.51667	29.252081
77.51667	23.881252
77.51667	11.881251
81.51667	6.4979153
89.51667	7.8812523
85.51667	13.641665
85.51667	23.881252
81.51667	35.881252
77.51667	43.881252
75.818748	51.881252
71.320831	59.881252
65.51667	69.73333
53.516666	79.881248
45.516666	87.881248
33.516666	91.881248
21.516666	91.881248
13.516666	87.881248
4.4152999	84.402084
5.5166664	93.54583
